id,text,rater_id,annotator_label,bayesian_single_label,bayesian_reliability,bayesian_vectors,original_distribution,crowdtruth_vectors,crowdtruth_reliability,crowdtruth_single_label,majority_vote
23,"Build the wall, and put these spics in prison with the nogs.","[1007, 770, 10392]","[1.0, 1.0, 1.0]",1,"[0.7248820280508718, 0.7679693840417878, 0.8154616780008002]","[0.30427915056594435, 0.1276489621011107, 0.568071887332945]","[0.0452785, 0.0452785, 0.909443, ]","[0.0, 0.3208239163510505, 0.6791760836489494]","[0.5658798182965493, 0.4992030145670672, 0.6081861346213354]",1,1
24,Love from an Indian from USA.,[4054],[0.0],0,[0.8727808046261839],"[0.5272711866430533, 0.15885125151027535, 0.3138775618466713]","[0.57611688, 0.21194156, 0.21194156]","[0.0, 0.25555959092205627, 0.7444404090779438]",[0.7235965765694323],1,0
25,"Interesting. I was born and raised in Taiwan and identify fiercely as a Taiwanese, but when referring to my ""ethnicity"" I always go with (Han) Chinese instead of Taiwanese (which is my nationality). You can be both and I don't think there's anything to be ashamed of.",[3577],[0.0],0,[0.7908595106324628],"[0.5205836550206383, 0.16109846542599035, 0.3183178795533713]","[0.57611688, 0.21194156, 0.21194156]","[1.0, 0.0, 0.0]",[0.3216753038889993],0,0
26,I'd love to rip those panties off and shove my fat cock in her ass.,"[7979, 6991, 2128]","[1.0, 1.0, 0.0]",1,"[0.8286740661676496, 0.7878407703354847, 0.7425130409362147]","[0.40308045973756695, 0.1267692684682427, 0.4701502717941904]","[0.24472847, 0.09003057, 0.66524096]","[0.2462404710747128, 0.2839904215215782, 0.4697691074037091]","[0.581194912328675, 0.6193804348075292, 0.4649072579797579]",1,1
27,Yeah but... you're still gay and childish :) You said nothing to disprove that. Keep posting. Maybe it'll chase the robots away some day :),"[7682, 7462]","[0.0, 0.0]",0,"[0.7901038131234244, 0.7974040288427864]","[0.5785610025099032, 0.14161631424820342, 0.2798226832418933]","[0.78698604, 0.10650698, 0.10650698]","[0.495356212165579, 0.504643787834421, 0.0]","[0.141879296919389, 0.1649849312426937]",0.5,0
28,I really want his star power as well. Curently I'm at 440 trophies with power 5... His star power will make him do much better. :),[7467],[0.0],0,[0.7808999068265665],"[0.5197576941960222, 0.16137601337098867, 0.3188662924329891]","[0.57611688, 0.21194156, 0.21194156]","[0.25806208972462646, 0.4972407986723477, 0.2446971116030257]",[0.560129327821593],0.5,0
29,"I'm absolutely for equal rights for all people.  In my life, things generally do seem equal, so I think it's more important at this point to focus on places where there is currently horrible gender inequality (probably the Middle East and Africa).","[2660, 8648, 4009]","[0.5, 0.0, 1.0]",0,"[0.8030392421003852, 0.7617357386276288, 0.7889344121045613]","[0.4059859967625471, 0.23606288065350248, 0.35795112258395034]","[0.66524096, 0.09003057, 0.24472847]","[1.0, 0.0, 0.0]","[0.6376480778398349, 0.5123277257885869, 0.6183332004759516]",0,0
31,"OKAY, I'LL LEAVE YOU FUCK YOURSELF LIKE A FUCKING DOG BARKING, BECAUSE I DON'T GIVE A FUCK TO A FUCKING BITCH LIKE YOU! I HOPE YOUR DICK-FACE FALLS ON A PIECE OF CRAP, HAVE A CRAPPY DAY, JACKARSE",[1469],[1.0],1,[0.770900885703156],"[0.38534144723101654, 0.16165562346973528, 0.4530029292992481]","[0.21194156, 0.21194156, 0.57611688]","[0.0, 0.27712571237417527, 0.7228742876258246]",[0.4995040298763373],1,1
32,The native european hunter-gatherer culture got wiped out by Middle Eastern farmer culture 8000 years ago.,"[9946, 4052]","[0.0, 0.0]",0,"[0.8217613245188106, 0.7855825981547455]","[0.5798262155917816, 0.14119116419217795, 0.27898262021604037]","[0.78698604, 0.10650698, 0.10650698]","[0.0, 0.5446664933878417, 0.45533350661215827]","[0.5350141798442064, 0.5397571756698348]",0.5,0
34,"You hypocritical fuckers are opening up a can of worms that you will never be able to reclose. Here's hoping that the upcoming events lead to the destruction of the so-called ""Christian right"" and not the country.","[10965, 7423, 2872, 9487]","[1.0, 0.0, 0.5, 0.0]",0,"[0.7611847542522904, 0.8050807052244522, 0.8391580596792018, 0.8310406589909073]","[0.4686341832919157, 0.21514773839984017, 0.3162180783082443]","[0.84379473, 0.04201007, 0.1141952, ]","[1.0, 0.0, 0.0]","[0.6830189857906425, 0.5455686718656148, 0.6477629728828337, 0.5824617622242968]",0,0
35,"Joe Rogan...listen, dawg. That one time I had this Jamaican ho' up like this when I snorted coke off her twat while she was on her period HAHAHAAH AHAHAHAHAHAHAH. I took a big shit inside her mouth and then I fucked it. Holy shit Joe Rogan you shoulda seen this, fuckin' savages all over HAHAHAHHAH AHAHAHAH. *coughs* *can't catch his breath*","[2951, 2708]","[1.0, 1.0]",1,"[0.8007511037056363, 0.8183488332226161]","[0.3359621882602366, 0.1409403981734297, 0.5230974135663338]","[0.10650698, 0.10650698, 0.78698604]","[1.0, 0.0, 0.0]","[0.567436468548643, 0.4439756621006862]",0,1
36,"To barber: ""Yo B I'm going to prison so you gotta make me look hella crazy. I ain't tryin to be made someone's bitch out here."" ""Shit negro, that's all you had to say""",[1489],[1.0],1,[0.8034542093048254],"[0.3831799509261548, 0.16074884836080058, 0.45607120071304463]","[0.21194156, 0.21194156, 0.57611688]","[1.0, 0.0, 0.0]",[0.5457931000981667],0,1
37,She got pregnant 4 times with two different guys who were losers and aborted all 4 children She a slut,[7504],[1.0],1,[0.8309511541153992],"[0.3813729939332638, 0.15999080698900475, 0.4586361990777315]","[0.21194156, 0.21194156, 0.57611688]","[0.390153678745865, 0.32328060976016243, 0.28656571149397264]",[0.5729306249736269],0,1
38,"Give me your tired, your poor, your religious nutcases, your criminals ... the wretched refuse of your teeming shore ... and finally allow Europe to be subjected to the moronic whims of this wretched refuse.","[7112, 4731, 3617]","[1.0, 0.0, 1.0]",1,"[0.7831920282897454, 0.7360403400874908, 0.8014572944999357]","[0.4043072135976652, 0.12743315501967942, 0.4682596313826554]","[0.24472847, 0.09003057, 0.66524096]","[0.0, 0.585906667138381, 0.4140933328616191]","[0.4789609285227174, 0.2883637320875681, 0.5889960137424557]",0.5,1
40,"""Atheists kill their parents and family members, and if you don't get out of my house I'm going to pour boiling water on you""","[7361, 9332, 344]","[1.0, 1.0, 1.0]",1,"[0.8429892451544423, 0.8576314009317318, 0.8529396558758349]","[0.2943998869706507, 0.12350448574800871, 0.5820956272813406]","[0.0452785, 0.0452785, 0.909443, ]","[0.0, 0.0, 1.0]","[0.5388488212638053, 0.5693871914762028, 0.5604067644359993]",1,1
41,"Give me your tired, your poor, your religious nutcases, your criminals yearning to escape justice ... the wretched refuse of your teeming shore ... and finally allow Europe to be ruled by them and subjected to the moronic whims of this wretched refuse.","[10322, 9177, 3971]","[0.0, 1.0, 1.0]",1,"[0.8115944585147986, 0.8138452451927808, 0.7600546209074934]","[0.4109896540739146, 0.12631498172724048, 0.462695364198845]","[0.24472847, 0.09003057, 0.66524096]","[0.5355508173563314, 0.4644491826436687, 0.0]","[0.5573857378360969, 0.4342147056637636, 0.4007490866533117]",0,1
44,"I mean, by this logic they want to ban sex, right? According to them, a woman having an orgasm means her egg(s) shoot out of her vagina like a fucking cannon. So what happens when a woman has sex for fun and doesn't get pregnant? Isn't that the same thing? Fucking idiots. I'm not really sure what their point would be, even if their insanely bad concept of biology were true.","[10769, 6428]","[0.0, 0.5]",0,"[0.8554671962939537, 0.8311014246667713]","[0.4605104157257776, 0.2638124433206985, 0.2756771409535238]","[0.78698604, 0.10650698, 0.10650698]","[0.041198948776122936, 0.6718027424324264, 0.2869983087914506]","[0.6531249750506803, 0.6635674175045093]",0.5,0
45,"Well, he's got my support because this is anti-jew.","[863, 3139, 10471]","[1.0, 0.0, 1.0]",1,"[0.7762754428977579, 0.7377620365421511, 0.8043370262727154]","[0.4046703722737926, 0.12747346831351458, 0.4678561594126928]","[0.24472847, 0.09003057, 0.66524096]","[1.0, 0.0, 0.0]","[0.4507675723413116, 0.3205379317766975, 0.455980696542721]",0,1
46,FUCK WHITE PEOPLE,"[1196, 10952]","[0.0, 0.0]",0,"[0.796351019360777, 0.8575765412791365]","[0.5827678201219555, 0.14020269564982665, 0.2770294842282179]","[0.78698604, 0.10650698, 0.10650698]","[0.0, 1.0, 0.0]","[0.6218122732483381, 0.5445324557822875]",0.5,0
48,"Give me your tired, your poor, your religious nutcases, your criminals yearning to escape justice ... the wretched refuse of your teeming shore ... and finally allow European Civilisation to be led and controlled by this wretched refuse ... what could possibly go wrong?","[5847, 2916]","[1.0, 0.5]",1,"[0.864122700064811, 0.7894602920857775]","[0.33422102072628357, 0.2588618605611566, 0.4069171187125598]","[0.4223188, 0.1553624, 0.4223188]","[0.0, 1.0, 0.0]","[0.5253557262745495, 0.3296294941090947]",0.5,0
49,I am just gonna have siblings coming over and I dont wanna seem high next to them So what if i take after they fall asleep  does it make you like do shit ?,[4207],[0.0],0,[0.8455370632324141],"[0.5250679841996907, 0.1595915945051805, 0.31534042129512874]","[0.57611688, 0.21194156, 0.21194156]","[0.33729944336389517, 0.3679136971147596, 0.29478685952134526]",[0.6538840782778975],0.5,0
54,"> It's not right but I still don't think it's extremism. If a religion believes it's not right to get an abortion for any reason it's not extremism its just a belief, and unfortunately it became law Separation of Church and State - hence it being extremism.",[5120],[0.0],0,[0.8167416484818646],"[0.5227168630394697, 0.16038164268544958, 0.31690149427508074]","[0.57611688, 0.21194156, 0.21194156]","[1.0, 0.0, 0.0]",[0.4239555885678593],0,0
55,"Aww that's too bad for you. I'll start with your ass, throat fuck you and then pound your pussy until I cum deep inside you. Are you on birth control, cunt?",[8592],[0.5],0,[0.8983184646025111],"[0.37701716386951134, 0.31046425455874543, 0.3125185815717432]","[0.57611688, 0.21194156, 0.21194156]","[1.0, 0.0, 0.0]",[0.725240382529007],0,0
56,"He's a fag, said it himself","[5169, 914, 4174]","[0.0, 0.0, 0.0]",0,"[0.8732091711111166, 0.7604552753242197, 0.8585232939106627]","[0.6294496618222516, 0.12451617778298073, 0.2460341603947676]","[0.909443, 0.0452785, 0.0452785]","[0.47504825653377464, 0.5249517434662253, 0.0]","[0.7071916619536227, 0.1337030543000681, 0.5952207339663842]",0.5,0
57,Anon is a betamale. Just cut them all off already. She isn't worth the effort.,"[808, 5952]","[0.0, 1.0]",0,"[0.7790506345097424, 0.8204296585383372]","[0.4550082431182548, 0.14135940092784435, 0.40363235595390085]","[0.4223188, 0.1553624, 0.4223188]","[0.407364158191461, 0.32898829658799006, 0.26364754522054906]","[0.1295702368204868, 0.5103878199929427]",0,0
58,"Late to the party, but I'm a bisexual Catholic. Still not out to my family, but I've slowly accepted this part of me!","[10805, 9520, 5312]","[0.0, 0.0, 0.0]",0,"[0.8347921248473753, 0.8797724803486571, 0.757465772452862]","[0.6284500248846762, 0.12485208618141776, 0.24669788893390607]","[0.909443, 0.0452785, 0.0452785]","[0.26223518327317846, 0.0, 0.7377648167268214]","[0.4847573467675528, 0.6266378607514707, 0.4122010208809181]",1,0
60,"You sound like a really bitter person. Have you always hated women, or was it after you got rejected by one?","[1524, 11119]","[1.0, 0.0]",0,"[0.7379327882314719, 0.8293291096269141]","[0.4648963991745407, 0.14205289741294064, 0.39305070341251874]","[0.4223188, 0.1553624, 0.4223188]","[1.0, 0.0, 0.0]","[0.5333994947742601, 0.5625975213031948]",0,0
61,Me promising my inner me to never expect hook up straight guys ever again,"[2970, 8437, 4780, 5922]","[1.0, 0.0, 0.0, 0.0]",0,"[0.7799874999029441, 0.8403559988018868, 0.796063626395869, 0.7498837804369918]","[0.5645244282973306, 0.11423773552173824, 0.32123783618093094]","[0.84379473, 0.04201007, 0.1141952, ]","[1.0, 0.0, 0.0]","[0.5397132216508881, 0.3959718353543009, 0.5965310181912025, 0.2132589886668917]",0,0
62,"Bend her over, spank her ass, eat her pussy and fuck her both holes","[1348, 2495, 3479]","[0.0, 0.0, 1.0]",0,"[0.7700436216743191, 0.8155823379632012, 0.6743503586212175]","[0.5247115268379815, 0.1284988462447411, 0.3467896269172773]","[0.66524096, 0.09003057, 0.24472847]","[0.48317111677559, 0.0, 0.51682888322441]","[0.3786884435867034, 0.5104077925035706, 0.263284610775529]",1,0
63,Demand she pay and topple the patriarchy!,"[1321, 8752, 7087]","[0.0, 0.0, 0.0]",0,"[0.8030357321689467, 0.7975279474283237, 0.8085950963155538]","[0.6252971781490331, 0.12591153852624196, 0.24879128332472486]","[0.909443, 0.0452785, 0.0452785]","[1.0, 0.0, 0.0]","[0.517674197315027, 0.4894783774841219, 0.4942346976601979]",0,0
64,"Someone just needs to pony up, and fuck one of these dudes forcibly in their ass. Ving Rhames style.","[8912, 196]","[1.0, 0.5]",1,"[0.834016480160444, 0.8088189577886544]","[0.3347617624877025, 0.26219489474313723, 0.4030433427691602]","[0.4223188, 0.1553624, 0.4223188]","[0.23014106678959537, 0.48109166160437616, 0.28876727160602844]","[0.5219677766540967, 0.4686921389998082]",0.5,0
66,Get ready to be flogged. India is ready to flog all cow dung eating shameless fucktards,"[8197, 168]","[1.0, 1.0]",1,"[0.738153099871973, 0.7940043694908306]","[0.3404338167831298, 0.14281630304166462, 0.5167498801752056]","[0.10650698, 0.10650698, 0.78698604]","[0.0, 0.37931761345330356, 0.6206823865466965]","[0.4434720922066176, 0.5127280841231611]",1,1
67,Awesome! Maybe now they can finally pass another equal pay for women bill and another anti lynching bill,"[778, 7881, 51]","[0.0, 0.0, 1.0]",0,"[0.7878158771119033, 0.8182939352639075, 0.7642144467290032]","[0.5196348188844259, 0.12657497117687186, 0.35379020993870225]","[0.66524096, 0.09003057, 0.24472847]","[0.3196665415726066, 0.6803334584273935, 0.0]","[0.5922963349481712, 0.619612140818126, 0.5343435832756092]",0.5,0
68,"I love you fi sabilillah. I cant imagine the rewards Allah has set in place for people who have struggles like you do. Find good friends, study the din and attain firm certainty in the proofs of Islam (study with scholars!) and I hope to see you in Jannah. Never despair. I cant advise you what to do, from what I know brothers and sisters with these feelings deal with them indifferent ways. See how you best are able to handle them.","[3464, 7020]","[0.0, 0.0]",0,"[0.7158994189204178, 0.8127173288968014]","[0.5747594309614518, 0.14289375785035888, 0.28234681118818933]","[0.78698604, 0.10650698, 0.10650698]","[0.0, 0.3574371534057134, 0.6425628465942865]","[0.4325487968874632, 0.5632940066692559]",1,0
69,"Yeah, holy shit. Seems like he gets pissed off if his tinder date won't fuck him 5 mins after showing up to his place. This guy wreaks of creep with a possible touch of incel","[5513, 7475]","[1.0, 0.0]",0,"[0.7806660149636555, 0.790074598415813]","[0.4586761333117578, 0.1419776910323937, 0.39934617565584846]","[0.4223188, 0.1553624, 0.4223188]","[0.0563647889262691, 0.0, 0.9436352110737309]","[0.5969452590585783, 0.346268265030916]",1,0
71,I wanna fuck but don't inconvenience me to use birth control or do an HCG every 4 weeks. God forbid any personal responsibility be expected on my part. /s,"[847, 4821, 8147]","[0.5, 0.5, 0.5]",0.5,"[0.7755290466085265, 0.8205305496556373, 0.843591876753819]","[0.29890745651039374, 0.45332097422975903, 0.2477715692598472]","[0.909443, 0.0452785, 0.0452785]","[0.0, 0.5575915081072925, 0.4424084918927075]","[0.459656772086172, 0.6144025007667214, 0.5485217776984754]",0.5,0
72,This is precisely why we need illegals deported on the spot!,"[1648, 8392, 2422, 2650]","[1.0, 0.0, 0.5, 1.0]",1,"[0.7181668485201568, 0.7709425357635543, 0.8189805016256853, 0.8151303831064859]","[0.3686604247714151, 0.21566312672428795, 0.415676448504297]","[0.46831053, 0.06337894, 0.46831053]","[1.0, 0.0, 0.0]","[0.2936288231245065, 0.3735248736954747, 0.7160325072498192, 0.6466589406980795]",0,0
73,What if... now I'm gonna get crazy here.:. What if it's wrong to say stupid shit like this about rape AND it's wrong to kill your baby?,[7995],[0.5],0,[0.8301641448144386],"[0.3814244751756277, 0.3024036170650465, 0.3161719077593258]","[0.57611688, 0.21194156, 0.21194156]","[0.0, 0.6976612320127437, 0.30233876798725634]",[0.5150263187763752],0.5,0
74,Let me guess: they're all racists.,"[299, 1336]","[0.5, 0.5]",0.5,"[0.8397733741845781, 0.8200359448272848]","[0.33390855392441726, 0.3893066265832581, 0.27678481949232453]","[0.78698604, 0.10650698, 0.10650698]","[0.0, 0.4614132891491114, 0.5385867108508886]","[0.6696874969821981, 0.5135564782186659]",1,0
76,"The gods of the gentiles are demons. Baal, Odin, Zeus, Quetzalcoatl, they're all real, and they're all demons. Christ conquered them all, and He will conquer again.","[6781, 10960, 2657]","[0.0, 0.0, 0.5]",0,"[0.8033291698257978, 0.7868987211893458, 0.7857171154847555]","[0.5170856326582898, 0.2330027806105729, 0.2499115867311374]","[0.909443, 0.0452785, 0.0452785]","[0.6455498663928345, 0.3544501336071655, 0.0]","[0.5112667169913775, 0.0, 0.422659903898863]",0,0
77,Keep non citizens out and send them home,"[5614, 1063, 7196]","[0.0, 0.0, 0.0]",0,"[0.7903157301745867, 0.9057757403734168, 0.8481517575932601]","[0.6320064694467182, 0.12365701269817582, 0.24433651785510582]","[0.909443, 0.0452785, 0.0452785]","[1.0, 0.0, 0.0]","[0.5305384233478978, 0.6945861071679622, 0.630991831258439]",0,0
78,"Typical stupid bimbo who has it all decides to be ""edgy"" does drugs and goes to rehab just to say she went... good job wasting your parents $ your mom shoulda swallowed.",[3040],[1.0],1,[0.7744139118407942],"[0.38510701398866415, 0.16155727575181697, 0.4533357102595189]","[0.21194156, 0.21194156, 0.57611688]","[0.18873121578969826, 0.0, 0.8112687842103018]",[0.4201719384091547],1,1
80,"Fuck you've got a fucking fat ass. All the better to slap against my waist while you're riding me, doing the only thing your worthless fat fuck holes are good for. You'd just get filled with the entire contents of my balls and you'd just be lying there with a cunt full of cum. I'd get up and leave without even looking at you.","[5513, 10345, 8327, 6439]","[1.0, 1.0, 1.0, 1.0]",1,"[0.7806660149636555, 0.7852458965079152, 0.8001675889336656, 0.7860966159987975]","[0.27278204829859887, 0.11443552829816654, 0.6127824234032346]","[0.01766842, 0.01766842, 0.96466316]","[0.3200373599876247, 0.42314865438777416, 0.25681398562460106]","[0.5969452590585783, 0.4888803482894927, 0.4298937904594135, 0.491271741474059]",0.5,1
81,"Someones son might experiment in homosexuality and wind up in a hospital with anal fissures or worse... Just saying, hope we find a way out of that bs","[5178, 1179, 7280]","[0.5, 1.0, 0.0]",0,"[0.8190646821570793, 0.834145462795241, 0.7801725983637076]","[0.40411478881380203, 0.23568855840132893, 0.36019665278486895]","[0.66524096, 0.09003057, 0.24472847]","[0.0, 0.3412125337470424, 0.6587874662529576]","[0.4805103905533345, 0.5996174898269355, 0.3906094084755788]",1,0
82,USA #1  We beat your ass 1776 bitch!,"[2329, 2200, 3308]","[0.0, 0.0, 1.0]",0,"[0.7460936620560138, 0.7907905433551803, 0.7742594473037208]","[0.5143725363867424, 0.12759954187385847, 0.3580279217393991]","[0.66524096, 0.09003057, 0.24472847]","[0.516911770588913, 0.0, 0.4830882294110871]","[0.4391234645718599, 0.441140891147218, 0.609911112673232]",0,0
83,"I live in a sanctuary city in a sanctuary county in a sanctuary state -- and we have a real labor shortage. Could you hurry it the hell up with those migrants, Trump?",[739],[0.5],0,[0.8174427820706395],"[0.3822585597192741, 0.3008781398118059, 0.3168633004689201]","[0.57611688, 0.21194156, 0.21194156]","[1.0, 0.0, 0.0]",[0.6292019453940533],0,0
85,Men like should should die alone. Dump his ass.,"[10861, 3065, 9559]","[0.5, 0.0, 0.0]",0,"[0.8183262837317612, 0.8015393183622757, 0.8500184521317585]","[0.5187932023423214, 0.23443802496525568, 0.2467687726924228]","[0.909443, 0.0452785, 0.0452785]","[0.0, 0.5358714399814428, 0.4641285600185571]","[0.4939645650271447, 0.5653344610954665, 0.6195354631661254]",0.5,0
86,"jesus christ why do niggers always have to show up and ruin my day. Not only that, but this nigger ate all the crops while on the job, so now the tree branch cant support him. something needs to be done about stopping the gorillas from eating all the food away from us white men. disgusting","[6844, 479, 7277]","[1.0, 1.0, 1.0]",1,"[0.8237980452224232, 0.8400133744166772, 0.7367593081504716]","[0.3004859193863568, 0.1260576535208701, 0.5734564270927731]","[0.0452785, 0.0452785, 0.909443, ]","[0.14482995466010665, 0.3054008197632863, 0.5497692255766071]","[0.5320659855126294, 0.6487338844833694, 0.233865290599902]",1,1
87,"We should flood the internet with Mohammad pictures. They can't bomb everyone. Plus, Islam is a religion of peace.","[6454, 2217]","[1.0, 0.5]",1,"[0.8339604665635619, 0.7694036401357418]","[0.3367627868448952, 0.25779317833906784, 0.40544403481603697]","[0.4223188, 0.1553624, 0.4223188]","[1.0, 0.0, 0.0]","[0.5097048705335494, 0.5734667461167231]",0,0
